"Period_id","Period","Period_Day","Periode_Date","Periode_Timestamp","Day_of_Month","Day_of_Year","Week_of_Month","Week_of_Year","Week_Number","Month","Month_Name","Month_Number","Trimester","Semester","Year","Date_Creation"
1,,,01.01.10,,,,,,,,,,,,,
2,,,02.01.10,,,,,,,,,,,,,
3,,,03.01.10,,,,,,,,,,,,,
4,,,04.01.10,,,,,,,,,,,,,
5,,,05.01.10,,,,,,,,,,,,,
6,,,06.01.10,,,,,,,,,,,,,
7,,,07.01.10,,,,,,,,,,,,,
8,,,08.01.10,,,,,,,,,,,,,
9,,,09.01.10,,,,,,,,,,,,,
10,,,10.01.10,,,,,,,,,,,,,
11,,,11.01.10,,,,,,,,,,,,,
12,,,12.01.10,,,,,,,,,,,,,
13,,,13.01.10,,,,,,,,,,,,,
14,,,14.01.10,,,,,,,,,,,,,
15,,,15.01.10,,,,,,,,,,,,,
16,,,16.01.10,,,,,,,,,,,,,
17,,,17.01.10,,,,,,,,,,,,,
18,,,18.01.10,,,,,,,,,,,,,
19,,,19.01.10,,,,,,,,,,,,,
20,,,20.01.10,,,,,,,,,,,,,
21,,,21.01.10,,,,,,,,,,,,,
22,,,22.01.10,,,,,,,,,,,,,
23,,,23.01.10,,,,,,,,,,,,,
24,,,24.01.10,,,,,,,,,,,,,
25,,,25.01.10,,,,,,,,,,,,,
26,,,26.01.10,,,,,,,,,,,,,
27,,,27.01.10,,,,,,,,,,,,,
28,,,28.01.10,,,,,,,,,,,,,
29,,,29.01.10,,,,,,,,,,,,,
30,,,30.01.10,,,,,,,,,,,,,
31,,,31.01.10,,,,,,,,,,,,,
32,,,01.02.10,,,,,,,,,,,,,
33,,,02.02.10,,,,,,,,,,,,,
34,,,03.02.10,,,,,,,,,,,,,
35,,,04.02.10,,,,,,,,,,,,,
36,,,05.02.10,,,,,,,,,,,,,
37,,,06.02.10,,,,,,,,,,,,,
38,,,07.02.10,,,,,,,,,,,,,
39,,,08.02.10,,,,,,,,,,,,,
40,,,09.02.10,,,,,,,,,,,,,
41,,,10.02.10,,,,,,,,,,,,,
42,,,11.02.10,,,,,,,,,,,,,
43,,,12.02.10,,,,,,,,,,,,,
44,,,13.02.10,,,,,,,,,,,,,
45,,,14.02.10,,,,,,,,,,,,,
46,,,15.02.10,,,,,,,,,,,,,
47,,,16.02.10,,,,,,,,,,,,,
48,,,17.02.10,,,,,,,,,,,,,
49,,,18.02.10,,,,,,,,,,,,,
50,,,19.02.10,,,,,,,,,,,,,
51,,,20.02.10,,,,,,,,,,,,,
52,,,21.02.10,,,,,,,,,,,,,
53,,,22.02.10,,,,,,,,,,,,,
54,,,23.02.10,,,,,,,,,,,,,
55,,,24.02.10,,,,,,,,,,,,,
56,,,25.02.10,,,,,,,,,,,,,
57,,,26.02.10,,,,,,,,,,,,,
58,,,27.02.10,,,,,,,,,,,,,
59,,,28.02.10,,,,,,,,,,,,,
60,,,01.03.10,,,,,,,,,,,,,
61,,,02.03.10,,,,,,,,,,,,,
62,,,03.03.10,,,,,,,,,,,,,
63,,,04.03.10,,,,,,,,,,,,,
64,,,05.03.10,,,,,,,,,,,,,
65,,,06.03.10,,,,,,,,,,,,,
66,,,07.03.10,,,,,,,,,,,,,
67,,,08.03.10,,,,,,,,,,,,,
68,,,09.03.10,,,,,,,,,,,,,
69,,,10.03.10,,,,,,,,,,,,,
70,,,11.03.10,,,,,,,,,,,,,
71,,,12.03.10,,,,,,,,,,,,,
72,,,13.03.10,,,,,,,,,,,,,
73,,,14.03.10,,,,,,,,,,,,,
74,,,15.03.10,,,,,,,,,,,,,
75,,,16.03.10,,,,,,,,,,,,,
76,,,17.03.10,,,,,,,,,,,,,
77,,,18.03.10,,,,,,,,,,,,,
78,,,19.03.10,,,,,,,,,,,,,
79,,,20.03.10,,,,,,,,,,,,,
80,,,21.03.10,,,,,,,,,,,,,
81,,,22.03.10,,,,,,,,,,,,,
82,,,23.03.10,,,,,,,,,,,,,
83,,,24.03.10,,,,,,,,,,,,,
84,,,25.03.10,,,,,,,,,,,,,
85,,,26.03.10,,,,,,,,,,,,,
86,,,27.03.10,,,,,,,,,,,,,
87,,,28.03.10,,,,,,,,,,,,,
88,,,29.03.10,,,,,,,,,,,,,
89,,,30.03.10,,,,,,,,,,,,,
90,,,31.03.10,,,,,,,,,,,,,
91,,,01.04.10,,,,,,,,,,,,,
92,,,02.04.10,,,,,,,,,,,,,
93,,,03.04.10,,,,,,,,,,,,,
94,,,04.04.10,,,,,,,,,,,,,
95,,,05.04.10,,,,,,,,,,,,,
96,,,06.04.10,,,,,,,,,,,,,
97,,,07.04.10,,,,,,,,,,,,,
98,,,08.04.10,,,,,,,,,,,,,
99,,,09.04.10,,,,,,,,,,,,,
100,,,10.04.10,,,,,,,,,,,,,
101,,,11.04.10,,,,,,,,,,,,,
102,,,12.04.10,,,,,,,,,,,,,
103,,,13.04.10,,,,,,,,,,,,,
104,,,14.04.10,,,,,,,,,,,,,
105,,,15.04.10,,,,,,,,,,,,,
106,,,16.04.10,,,,,,,,,,,,,
107,,,17.04.10,,,,,,,,,,,,,
108,,,18.04.10,,,,,,,,,,,,,
109,,,19.04.10,,,,,,,,,,,,,
110,,,20.04.10,,,,,,,,,,,,,
111,,,21.04.10,,,,,,,,,,,,,
112,,,22.04.10,,,,,,,,,,,,,
113,,,23.04.10,,,,,,,,,,,,,
114,,,24.04.10,,,,,,,,,,,,,
115,,,25.04.10,,,,,,,,,,,,,
116,,,26.04.10,,,,,,,,,,,,,
117,,,27.04.10,,,,,,,,,,,,,
118,,,28.04.10,,,,,,,,,,,,,
119,,,29.04.10,,,,,,,,,,,,,
120,,,30.04.10,,,,,,,,,,,,,
121,,,01.05.10,,,,,,,,,,,,,
122,,,02.05.10,,,,,,,,,,,,,
123,,,03.05.10,,,,,,,,,,,,,
124,,,04.05.10,,,,,,,,,,,,,
125,,,05.05.10,,,,,,,,,,,,,
